,HFI_RF,Mkt_RF,SMB,HML
201712,0.010600000000000002,0.0106,-0.013200000000000002,0.0005
201801,0.0195,0.055700000000000006,-0.0315,-0.013300000000000001
201802,-0.0163,-0.0365,0.0023,-0.010700000000000001
201803,-0.0083,-0.0235,0.0405,-0.0023
201804,0.0031000000000000003,0.0028000000000000004,0.011399999999999999,0.0054
201805,0.006,0.0265,0.0526,-0.0318
201806,-0.0061,0.0048,0.0115,-0.0233
201807,0.0046,0.0319,-0.0222,0.0047
201808,-0.00030000000000000014,0.0344,0.011200000000000002,-0.039900000000000005
201809,-0.0024000000000000002,0.0006,-0.022799999999999997,-0.0169
201810,-0.0349,-0.0768,-0.0477,0.0344
201811,-0.005900000000000001,0.0169,-0.0068000000000000005,0.0027
201812,-0.0295,-0.09570000000000001,-0.023799999999999998,-0.018600000000000002
201901,0.034300000000000004,0.084,0.028999999999999998,-0.0045000000000000005
201902,0.010700000000000001,0.034,0.020499999999999997,-0.0268
201903,0.0042,0.011000000000000001,-0.030299999999999997,-0.040999999999999995
201904,0.009400000000000002,0.039700000000000006,-0.0174,0.021400000000000002
201905,-0.0193,-0.0694,-0.0131,-0.0234
201906,0.019299999999999998,0.0693,0.0028000000000000004,-0.0072
201907,0.0029,0.011899999999999999,-0.0193,0.0047
201908,-0.0112,-0.0258,-0.0236,-0.047599999999999996
201909,0.0014000000000000002,0.0143,-0.0097,0.0674
201910,0.0055,0.0206,0.0029,-0.0192
201911,0.0087,0.038700000000000005,0.0078000000000000005,-0.0201
201912,0.0153,0.027700000000000002,0.0073,0.0176
202001,-0.0031000000000000003,-0.0011,-0.031000000000000003,-0.0622
202002,-0.029599999999999998,-0.08130000000000001,0.010700000000000001,-0.0379
202003,-0.0929,-0.13390000000000002,-0.0488,-0.13970000000000002
202004,0.0537,0.1365,0.024900000000000002,-0.0123
202005,0.0266,0.0558,0.0248,-0.0489
202006,0.0216,0.0246,0.027000000000000003,-0.0217
202007,0.0267,0.057699999999999994,-0.0232,-0.0138
202008,0.0238,0.0763,-0.0022,-0.029500000000000002
