Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,124.290001,124.570000,123.779999,124.489998,119.804817,2340400
2020-01-02,124.660004,126.269997,124.230003,125.849998,121.533432,2708000
2020-01-03,124.320000,125.099998,123.940002,124.599998,120.326286,2090600
2020-01-06,123.370003,124.160004,123.120003,124.059998,119.804825,2855200
2020-01-07,123.470001,124.400002,123.360001,123.410004,119.177101,2042300
2020-01-08,124.050003,126.360001,123.800003,125.540001,121.234055,3458200
2020-01-09,126.489998,127.879997,126.389999,127.809998,123.426201,2787100
2020-01-10,127.580002,128.169998,126.919998,127.279999,122.914383,2789200
2020-01-13,127.839996,128.949997,127.629997,128.539993,124.131142,3285700
2020-01-14,128.619995,130.089996,128.339996,128.800003,124.382240,3836000
2020-01-15,128.690002,129.839996,128.449997,129.820007,125.367249,3187200
2020-01-16,130.500000,130.929993,129.710007,130.550003,126.072235,2424500
2020-01-17,131.449997,131.860001,130.789993,131.520004,127.008942,3659400
2020-01-21,131.110001,131.820007,130.389999,130.529999,126.052895,3102700
2020-01-22,130.929993,132.270004,130.929993,131.490005,126.979996,2483800
2020-01-23,131.259995,131.570007,130.139999,131.369995,126.864082,3841000
2020-01-24,136.360001,138.130005,133.850006,135.110001,130.475815,8612500
2020-01-27,131.149994,131.979996,128.869995,130.639999,126.159103,6432400
2020-01-28,132.000000,133.869995,131.139999,132.449997,127.907036,3712700
2020-01-29,132.479996,133.130005,131.440002,131.679993,127.163445,2518400
2020-01-30,130.750000,133.330002,130.440002,133.220001,128.650620,2428500
2020-01-31,132.169998,132.250000,129.380005,129.869995,125.415543,3522600
2020-02-03,130.550003,132.220001,130.449997,131.000000,126.506767,2721900
2020-02-04,132.880005,133.339996,131.720001,131.850006,127.327637,2547500
2020-02-05,133.429993,133.800003,131.289993,133.600006,129.017593,4084500
2020-02-06,134.160004,134.350006,133.110001,133.250000,128.679611,1708600
2020-02-07,132.570007,132.750000,131.339996,131.820007,127.298691,2885600
2020-02-10,131.610001,132.500000,131.350006,132.240005,127.704262,1816500
2020-02-11,133.029999,133.649994,132.320007,132.630005,128.080902,1733300
2020-02-12,133.389999,133.720001,132.529999,133.240005,128.669952,1715400
2020-02-13,133.149994,134.669998,133.059998,134.460007,129.848114,3178300
2020-02-14,134.710007,136.369995,134.529999,135.869995,131.209732,2360300
2020-02-18,135.869995,136.750000,134.940002,135.600006,130.949005,2428200
2020-02-19,136.300003,137.419998,136.119995,136.929993,132.233383,1785000
2020-02-20,136.410004,138.039993,134.899994,136.580002,131.895401,2541700
2020-02-21,136.199997,136.270004,133.889999,134.899994,130.273010,3106100
2020-02-24,129.429993,130.960007,127.230003,128.190002,123.793159,6329300
2020-02-25,127.709999,127.989998,119.910004,120.900002,116.753197,7628100
2020-02-26,121.269997,122.430000,118.470001,118.500000,114.435524,5268000
2020-02-27,115.900002,117.480003,112.779999,112.809998,108.940689,8279800
2020-02-28,109.050003,111.029999,107.000000,109.930000,106.159470,11362100
2020-03-02,111.110001,113.989998,108.589996,113.870003,109.964333,9851600
2020-03-03,115.019997,116.400002,107.000000,108.010002,104.305321,9285000
2020-03-04,110.250000,115.790001,109.250000,115.699997,111.731567,7470900
2020-03-05,111.620003,112.589996,109.699997,110.940002,107.134834,12060600
2020-03-06,105.730003,108.769997,103.790001,108.239998,104.527420,9897700
2020-03-09,100.870003,101.440002,96.940002,98.290001,94.918709,12266300
2020-03-10,101.930000,103.370003,97.449997,103.300003,99.756874,9793200
2020-03-11,100.300003,100.959999,93.870003,95.379997,92.108528,8822900
2020-03-12,87.660004,89.610001,81.809998,83.529999,80.664970,12206600
2020-03-13,90.379997,100.080002,84.300003,99.599998,96.183777,12680400
2020-03-16,82.440002,93.180000,80.370003,85.870003,82.924713,15072400
2020-03-17,87.610001,88.940002,83.220001,86.580002,83.610367,10512200
2020-03-18,80.019997,81.519997,67.000000,73.750000,71.220413,14359300
2020-03-19,72.540001,77.889999,69.790001,77.070000,74.426544,12330400
2020-03-20,78.980003,82.440002,72.559998,74.120003,71.577728,12208600
2020-03-23,72.820000,75.419998,68.120003,68.959999,66.594727,8907600
2020-03-24,73.510002,84.769997,71.699997,84.050003,81.167145,10593900
2020-03-25,87.610001,96.459999,85.320000,90.169998,87.077217,11046500
2020-03-26,92.239998,99.690002,90.839996,93.290001,90.090210,9459400
2020-03-27,87.940002,91.970001,85.820000,88.730003,85.686623,6999800
2020-03-30,88.510002,91.389999,85.269997,90.269997,87.173790,5565000
2020-03-31,89.940002,90.900002,85.070000,85.610001,82.673630,6075900
2020-04-01,80.650002,81.309998,77.000000,77.839996,75.170143,8313400
2020-04-02,77.059998,79.120003,75.830002,76.660004,74.441841,8338100
2020-04-03,76.000000,76.660004,72.610001,73.599998,71.470367,10023100
2020-04-06,80.220001,84.250000,78.739998,83.870003,81.443222,11253000
2020-04-07,91.430000,93.300003,87.419998,87.580002,85.045868,8693200
2020-04-08,89.209999,93.000000,88.120003,92.080002,89.415657,6122800
2020-04-09,94.589996,97.849998,93.459999,94.820000,92.076378,6902500
2020-04-13,93.290001,93.419998,87.940002,90.330002,87.716301,5037700
2020-04-14,91.459999,92.500000,85.910004,88.389999,85.832428,8703200
2020-04-15,83.430000,85.400002,80.680000,83.790001,81.365524,10415600
2020-04-16,83.790001,83.940002,80.330002,81.349998,78.996132,7526600
2020-04-17,85.320000,87.389999,84.279999,87.389999,84.861374,8269000
2020-04-20,84.589996,85.269997,82.690002,84.010002,81.579170,6140400
2020-04-21,80.730003,82.459999,79.470001,81.519997,79.161209,7360300
2020-04-22,83.599998,83.660004,81.970001,82.540001,80.151695,5130300
2020-04-23,83.239998,84.779999,81.709999,82.459999,80.074020,5807200
2020-04-24,84.129997,84.779999,81.309998,83.169998,80.763466,9125400
2020-04-27,83.470001,85.150002,82.339996,85.059998,82.598778,7785000
2020-04-28,87.559998,88.959999,86.209999,88.190002,85.638222,7165900
2020-04-29,91.750000,96.389999,90.889999,96.120003,93.338768,9396500
2020-04-30,93.750000,94.309998,91.169998,91.250000,88.609665,6553700
2020-05-01,88.099998,89.070000,87.160004,88.320000,85.764465,4620200
2020-05-04,86.089996,87.370003,85.019997,86.379997,83.880585,4875400
2020-05-05,88.000000,88.730003,86.360001,86.739998,84.230164,4410300
2020-05-06,87.489998,87.760002,83.860001,84.000000,81.569450,4723400
2020-05-07,85.300003,87.370003,84.930000,86.730003,84.220474,4627600
2020-05-08,88.500000,89.660004,87.550003,89.500000,86.910301,3913100
2020-05-11,87.500000,87.650002,85.300003,85.330002,82.860977,5917600
2020-05-12,86.099998,87.260002,83.099998,83.139999,80.734337,5504900
2020-05-13,82.000000,82.129997,77.400002,78.029999,75.772202,10681600
2020-05-14,76.919998,83.900002,76.000000,83.809998,81.384949,10625100
2020-05-15,82.470001,83.389999,81.220001,82.220001,79.840958,6618600
2020-05-18,86.720001,89.000000,85.919998,88.410004,85.851845,7781700
2020-05-19,88.419998,89.839996,86.610001,87.260002,84.735123,4920600
2020-05-20,89.180000,91.339996,88.769997,90.730003,88.104729,5218500
2020-05-21,90.110001,91.430000,89.120003,89.830002,87.230766,6241900
2020-05-22,89.709999,89.949997,88.209999,89.330002,86.745224,3734500
2020-05-26,93.940002,95.570000,92.889999,94.320000,91.590851,6559400
2020-05-27,100.000000,101.690002,96.800003,101.230003,98.300911,11007700
2020-05-28,101.540001,102.459999,98.010002,98.059998,95.222633,9268200
2020-05-29,95.500000,97.110001,94.660004,95.070000,92.319138,7710900
2020-06-01,95.559998,98.070000,94.559998,96.750000,93.950523,4269500
2020-06-02,98.599998,100.489998,98.169998,99.070000,96.203400,5433800
2020-06-03,102.779999,105.870003,101.629997,105.400002,102.350243,7301000
2020-06-04,103.470001,107.430000,103.230003,106.540001,103.457260,5841600
2020-06-05,114.110001,115.930000,108.070000,109.730003,106.554955,10097600
2020-06-08,111.910004,113.709999,110.639999,113.669998,110.380943,6795200
2020-06-09,110.080002,111.800003,108.669998,110.459999,107.263840,5517400
2020-06-10,110.000000,110.330002,105.959999,106.160004,103.088264,5747400
2020-06-11,100.870003,102.989998,98.129997,98.599998,95.746994,8601200
2020-06-12,103.209999,103.500000,98.080002,101.680000,98.737885,7251100
2020-06-15,100.000000,104.739998,97.620003,103.949997,100.942192,6472400
2020-06-16,109.019997,109.059998,102.860001,105.620003,102.563881,6706000
2020-06-17,105.669998,106.120003,103.830002,103.959999,100.951904,4408200
2020-06-18,102.139999,103.489998,101.269997,102.160004,99.203995,3645700
2020-06-19,104.230003,104.230003,99.320000,100.940002,98.019279,7589500
2020-06-22,98.000000,100.500000,97.949997,99.440002,96.562706,4799900
2020-06-23,100.940002,101.650002,99.250000,99.419998,96.543274,4364800
2020-06-24,97.650002,98.269997,95.000000,95.480003,92.717278,5958300
2020-06-25,94.610001,98.120003,93.760002,97.849998,95.018692,5195400
2020-06-26,95.930000,96.300003,92.449997,93.419998,90.716881,10489400
2020-06-29,94.440002,95.410004,93.339996,94.519997,91.785049,4962400
2020-06-30,94.160004,95.599998,93.570000,95.199997,92.445381,4367100
2020-07-01,95.250000,96.959999,93.639999,94.050003,91.743050,3301000
2020-07-02,96.769997,97.290001,93.849998,94.330002,92.016167,4239700
2020-07-06,96.510002,97.900002,95.839996,96.580002,94.210976,4059600
2020-07-07,95.440002,95.519997,92.629997,93.010002,90.728554,5564200
2020-07-08,91.970001,93.099998,90.709999,92.900002,90.621246,6382100
2020-07-09,92.510002,93.209999,89.580002,90.570000,88.348396,4484500
2020-07-10,90.320000,93.309998,89.820000,93.230003,90.943153,4400900
2020-07-13,94.239998,95.760002,92.779999,93.559998,91.265053,4819700
2020-07-14,93.190002,95.220001,92.290001,94.839996,92.513657,4044400
2020-07-15,96.660004,97.779999,96.389999,97.360001,94.971848,5405600
2020-07-16,96.500000,97.790001,95.669998,96.320000,93.957359,2666000
2020-07-17,96.349998,96.529999,95.010002,95.180000,92.845322,2861600
2020-07-20,94.800003,95.360001,93.580002,94.000000,91.694260,3560100
2020-07-21,95.250000,97.459999,94.730003,96.330002,93.967117,4227100
2020-07-22,95.809998,97.410004,95.379997,96.540001,94.171967,4360300
2020-07-23,95.510002,97.779999,95.510002,96.669998,94.298775,4239800
2020-07-24,95.300003,97.150002,93.300003,95.330002,92.991646,4790300
2020-07-27,94.639999,95.980003,93.639999,95.790001,93.440353,3501800
2020-07-28,95.760002,96.290001,94.180000,94.419998,92.103958,3567400
2020-07-29,94.709999,96.750000,94.440002,96.690002,94.318283,2791700
2020-07-30,94.680000,94.779999,92.500000,94.650002,92.328323,3856300
2020-07-31,94.309998,94.449997,92.230003,93.320000,91.030945,4088200
2020-08-03,93.309998,94.400002,92.440002,93.540001,91.245560,2869000
2020-08-04,93.489998,93.800003,92.489998,93.190002,90.904144,2415100
2020-08-05,93.820000,95.580002,93.809998,95.389999,93.050171,2844900
2020-08-06,95.180000,96.269997,94.480003,95.919998,93.567169,2698800
2020-08-07,95.290001,99.300003,94.949997,99.160004,96.727707,4690700
2020-08-10,99.489998,102.650002,99.260002,101.620003,99.127342,5254800
2020-08-11,103.989998,105.699997,102.959999,103.260002,100.727127,4744000
2020-08-12,104.760002,104.800003,100.680000,101.680000,99.185883,3407800
2020-08-13,100.529999,101.830002,99.500000,100.419998,97.956787,3265400
2020-08-14,99.660004,101.290001,99.269997,100.410004,97.947037,1956500
2020-08-17,99.919998,100.000000,97.440002,97.550003,95.157196,7488500
2020-08-18,98.190002,98.830002,96.470001,96.669998,94.298775,3337300
2020-08-19,96.820000,97.910004,95.889999,96.889999,94.513374,3079600
2020-08-20,95.739998,97.580002,95.680000,96.720001,94.347542,3102500
2020-08-21,96.489998,97.650002,95.959999,96.150002,93.791512,2845100
2020-08-24,96.680000,99.370003,96.389999,99.330002,96.893517,4141100
2020-08-25,100.620003,100.790001,98.029999,99.050003,96.620392,2946600
2020-08-26,98.559998,99.139999,97.809998,98.400002,95.986336,2936500
2020-08-27,98.760002,102.139999,98.529999,101.529999,99.039566,3992100
2020-08-28,102.150002,102.900002,100.739998,102.540001,100.024773,4382900
2020-08-31,102.900002,102.900002,101.360001,101.589996,99.098083,4665800
2020-09-01,100.540001,102.779999,100.160004,102.470001,99.956505,3142500
2020-09-02,102.580002,104.870003,102.290001,104.400002,101.839157,3536900
2020-09-03,104.970001,109.029999,103.849998,104.459999,101.897690,6747900
2020-09-04,106.349998,108.279999,104.480003,105.669998,103.078011,5235100
2020-09-08,104.419998,105.080002,103.300003,103.669998,101.127068,4517000
2020-09-09,104.570000,104.709999,102.690002,103.779999,101.234367,2474700
